trip_distance,passenger_count,avg(fare_amount)
-23.88,1.0,78.56
-13.88,1.0,34.66
-13.71,1.0,45.08
-12.95,1.0,40.1
-11.3,1.0,34.99
-10.75,1.0,35.59
-10.64,1.0,24.69
-7.55,1.0,21.09
-5.56,1.0,14.92
-5.28,1.0,18.95
-5.0,1.0,15.77
-4.46,1.0,14.96
-4.33,1.0,13.92
-3.93,1.0,9.0
-3.9,1.0,18.0
-3.87,1.0,23.51
-3.46,1.0,12.35
-2.39,1.0,13.2
-1.91,1.0,34.97
-1.8,1.0,7.2
-1.61,1.0,10.2
-1.6,1.0,9.2
-1.53,1.0,7.85
-1.44,1.0,8.2
-1.43,1.0,11.773333333333333
-1.42,1.0,9.2
-1.41,1.0,8.2
-1.39,1.0,10.74
-1.38,1.0,10.2
-1.28,1.0,9.43
-1.23,1.0,7.2
-1.03,1.0,8.2
-1.02,1.0,7.699999999999999
-1.0,1.0,8.2
-0.98,1.0,8.2
-0.93,1.0,7.2
-0.92,1.0,5.2
-0.9,1.0,7.2
-0.89,1.0,7.2
-0.62,1.0,43.145
-0.22,1.0,8.0
-0.2,1.0,13.54
-0.11,1.0,40.22
-0.04,1.0,8.0
-0.03,1.0,14.92
0.0,1.0,20.492429530845246
0.0,2.0,16.582096099112675
0.0,3.0,18.7944685802948
0.0,4.0,27.024702380952384
0.0,5.0,11.743450000000001
0.0,6.0,8.230667886550778
0.0,7.0,8.928636363636365
0.0,8.0,15.626551724137931
0.0,9.0,30.266666666666666
0.01,1.0,10.140703770921556
0.01,2.0,12.015782442748092
0.01,3.0,8.84
0.01,4.0,13.591666666666667
0.01,5.0,8.281948051948053
0.01,6.0,7.405063291139241
0.01,7.0,7.0
0.01,8.0,8.266666666666667
0.02,1.0,9.108611758611758
0.02,2.0,11.305386597938144
0.02,3.0,21.536231884057973
0.02,4.0,21.19473684210526
0.02,5.0,6.858333333333333
0.02,6.0,4.69
0.02,7.0,7.8
0.02,8.0,8.0
0.03,1.0,8.305582342954159
0.03,2.0,10.42142857142857
0.03,3.0,16.01086956521739
0.03,4.0,22.11904761904762
0.03,5.0,7.377912087912088
0.03,6.0,4.467391304347826
0.03,8.0,80.0
0.04,1.0,9.47591579861111
0.04,2.0,8.748807339449542
0.04,3.0,8.91025641025641
0.04,4.0,16.61764705882353
0.04,5.0,7.280298507462687
0.04,6.0,5.25
0.04,7.0,74.0
0.05,1.0,9.441255605381166
0.05,2.0,11.581494845360824
0.05,3.0,11.4125
0.05,4.0,21.533333333333335
0.05,5.0,4.703235294117647
0.05,6.0,8.328125
0.05,7.0,7.0
0.06,1.0,8.828033315421816
0.06,2.0,10.875511363636363
0.06,3.0,7.5
0.06,4.0,32.875
0.06,5.0,4.382352941176471
0.06,6.0,2.8392857142857144
0.06,7.0,7.0
0.07,1.0,8.388015873015872
0.07,2.0,10.586092715231787
0.07,3.0,13.673076923076923
0.07,4.0,9.133333333333333
0.07,5.0,4.525
0.07,6.0,5.183333333333334
0.07,8.0,8.0
0.08,1.0,8.367611362169141
0.08,2.0,9.051754385964912
0.08,3.0,7.520833333333333
0.08,4.0,18.625
0.08,5.0,7.044642857142857
0.08,6.0,3.3461538461538463
0.08,7.0,7.0
0.08,8.0,8.0
0.08,9.0,9.0
0.09,1.0,8.850916552667579
0.09,2.0,7.3590909090909085
0.09,3.0,18.75
0.09,4.0,21.25
0.09,5.0,4.670454545454546
0.09,6.0,4.36
0.09,9.0,9.0
0.1,1.0,5.745616306954437
0.1,2.0,8.630620689655172
0.1,3.0,8.88679245283019
0.1,4.0,9.962962962962964
0.1,5.0,4.916666666666667
0.1,6.0,7.978260869565218
0.11,1.0,8.263003144654089
0.11,2.0,11.565625
0.11,3.0,9.362068965517242
0.11,4.0,15.8125
0.11,5.0,8.075
0.11,6.0,3.6538461538461537
0.12,1.0,7.696006339144216
0.12,2.0,9.336448598130842
0.12,3.0,7.708333333333333
0.12,4.0,14.857142857142858
0.12,5.0,3.4583333333333335
0.12,6.0,9.482142857142858
0.12,8.0,0.5
0.13,1.0,8.425854632587859
0.13,2.0,8.72983870967742
0.13,3.0,14.020833333333334
0.13,4.0,13.6
0.13,5.0,6.739130434782608
0.13,6.0,4.976190476190476
0.14,1.0,8.794171974522293
0.14,2.0,8.912845528455284
0.14,3.0,18.52173913043478
0.14,4.0,5.3125
0.14,5.0,4.1911764705882355
0.14,6.0,3.92
0.14,8.0,8.0
0.15,1.0,8.07012366034625
0.15,2.0,12.197478991596638
0.15,3.0,34.36538461538461
0.15,4.0,7.375
0.15,5.0,8.606060606060606
0.15,6.0,3.566666666666667
0.16,1.0,7.6842774086378745
0.16,2.0,9.824324324324325
0.16,3.0,25.900000000000002
0.16,4.0,33.75
0.16,5.0,4.622580645161291
0.16,6.0,5.94
0.17,1.0,6.830480928689884
0.17,2.0,6.735576923076923
0.17,3.0,12.237368421052631
0.17,4.0,15.75
0.17,5.0,6.541666666666667
0.17,6.0,3.484848484848485
0.18,1.0,7.342251602564102
0.18,2.0,8.190082644628099
0.18,3.0,7.875
0.18,4.0,4.75
0.18,5.0,6.559444444444444
0.18,6.0,5.37037037037037
0.19,1.0,6.811688819390148
0.19,2.0,9.972794117647059
0.19,3.0,9.4375
0.19,4.0,14.210526315789474
0.19,5.0,3.755813953488372
0.19,6.0,3.56
0.19,7.0,7.0
0.2,1.0,5.8619263256686995
0.2,2.0,6.993140243902439
0.2,3.0,7.4523809523809526
0.2,4.0,10.923076923076923
0.2,5.0,4.161538461538462
0.2,6.0,3.6
0.21,1.0,5.909835243553008
0.21,2.0,6.007338129496403
0.21,3.0,13.574074074074074
0.21,4.0,12.5
0.21,5.0,3.6025641025641026
0.21,6.0,5.147058823529412
0.22,1.0,5.739816201497618
0.22,2.0,10.306642857142858
0.22,3.0,5.2894736842105265
0.22,4.0,10.5
0.22,5.0,5.211864406779661
0.22,6.0,5.466666666666667
0.22,7.0,7.0
0.23,1.0,5.689526854219949
0.23,2.0,6.538759689922481
0.23,3.0,7.9375
0.23,4.0,5.35
0.23,5.0,4.56140350877193
0.23,6.0,3.6666666666666665
0.24,1.0,5.291054131054131
0.24,2.0,6.554054054054054
0.24,3.0,4.571428571428571
0.24,4.0,11.458333333333334
0.24,5.0,4.508620689655173
0.24,6.0,3.6153846153846154
0.25,1.0,4.726118652589241
0.25,2.0,6.524456521739131
0.25,3.0,10.206896551724139
0.25,4.0,19.2
0.25,5.0,5.018840579710145
0.25,6.0,3.8513513513513513
0.25,7.0,7.0
0.26,1.0,5.138841346153846
0.26,2.0,5.551829268292683
0.26,3.0,5.004
0.26,4.0,10.318181818181818
0.26,5.0,4.3125
0.26,6.0,3.9038461538461537
0.27,1.0,5.4959694107062536
0.27,2.0,5.487046632124352
0.27,3.0,8.93939393939394
0.27,4.0,11.0
0.27,5.0,4.895061728395062
0.27,6.0,4.080645161290323
0.27,8.0,47.0
0.28,1.0,4.712616105666809
0.28,2.0,7.576271186440678
0.28,3.0,11.01063829787234
0.28,4.0,14.0
0.28,5.0,4.030487804878049
0.28,6.0,4.259615384615385
0.29,1.0,4.704003121342177
0.29,2.0,6.526269430051813
0.29,3.0,7.560909090909091
0.29,4.0,8.6
0.29,5.0,4.102409638554217
0.29,6.0,3.925925925925926
0.3,1.0,4.607483233321568
0.3,2.0,4.773965517241379
