trip_distance,passenger_count,avg(fare_amount)
-23.01,1.0,53.54
-21.3,1.0,49.7
-19.23,1.0,56.72
-14.69,1.0,44.5
-14.62,1.0,41.92
-14.42,1.0,50.16
-14.31,1.0,35.11
-13.79,1.0,52.2
-13.52,1.0,36.74
-11.45,1.0,39.59
-11.35,1.0,31.37
-9.94,1.0,29.22
-9.32,1.0,24.99
-9.25,1.0,58.68
-8.55,1.0,40.38
-6.2,1.0,21.21
-6.01,1.0,17.43
-5.38,1.0,25.2
-4.82,1.0,17.27
-4.69,1.0,47.8
-4.37,1.0,13.71
-4.31,1.0,22.2
-4.26,1.0,14.03
-4.03,1.0,20.2
-3.89,1.0,15.62
-3.86,1.0,27.03
-3.71,1.0,17.2
-3.7,1.0,13.64
-3.59,1.0,24.27
-2.86,1.0,14.2
-2.32,1.0,31.41
-2.29,1.0,25.32
-2.04,1.0,7.34
-1.95,1.0,14.01
-1.92,1.0,17.2
-1.76,1.0,10.2
-1.75,1.0,9.7
-1.74,1.0,10.2
-1.73,1.0,9.2
-1.71,1.0,10.2
-1.68,1.0,9.2
-1.66,1.0,11.2
-1.65,1.0,10.2
-1.62,1.0,10.2
-1.6,1.0,10.2
-1.49,1.0,13.2
-1.39,1.0,9.2
-1.23,1.0,8.2
-1.17,1.0,13.0
-1.02,1.0,8.2
-0.92,1.0,7.2
-0.91,1.0,8.2
-0.77,1.0,27.2
-0.76,1.0,10.5
-0.43,1.0,8.0
-0.36,1.0,10.0
-0.18,1.0,12.45
-0.07,1.0,31.42
0.0,1.0,31.57958580392112
0.0,2.0,36.500230907785856
0.0,3.0,39.31374435920578
0.0,4.0,49.016440748788234
0.0,5.0,28.915642358000362
0.0,6.0,22.220081212777476
0.0,7.0,57.39925311203319
0.0,8.0,47.704
0.0,9.0,46.814482758620684
0.01,1.0,23.668223868954758
0.01,2.0,27.097205211726383
0.01,3.0,22.509987301587305
0.01,4.0,27.551532147742815
0.01,5.0,14.869335423197493
0.01,6.0,12.612372505543238
0.01,7.0,63.642857142857146
0.01,8.0,68.25
0.01,9.0,58.26333333333333
0.02,1.0,20.4448752551599
0.02,2.0,22.655572114170244
0.02,3.0,18.87621359223301
0.02,4.0,24.761614349775787
0.02,5.0,12.176733449477352
0.02,6.0,12.983242424242425
0.02,7.0,75.0
0.02,8.0,8.0
0.03,1.0,19.474778963960738
0.03,2.0,21.81207668815745
0.03,3.0,17.510648714810284
0.03,4.0,22.72640326975477
