Date,total_trip,avg_fare_amount
2019-01-03,6,15.916666666666666
2019-01-27,12,9.291666666666666
2019-01-28,20311,14.54222096400965
2019-01-29,21453,14.316455973523516
2019-01-30,21372,13.792331087404081
2019-01-31,21220,13.659248821866164
2019-02-01,25070,13.79165416832868
2019-02-02,22748,13.124910321786531
2019-02-03,18648,13.834125911625911
2019-02-04,20189,14.936802714349398
2019-02-05,19823,14.995843212430005
2019-02-06,22486,14.533518189095437
2019-02-07,21959,14.802527892891298
2019-02-08,24262,14.32904418432116
2019-02-09,22716,13.19567089276281
2019-02-10,17860,13.546731243001119
2019-02-11,20374,14.412195445175223
2019-02-12,17183,13.576644939766048
2019-02-13,21256,14.604087786977795
2019-02-14,22755,15.013321467809273
2019-02-15,22608,14.83282908704883
2019-02-16,20569,13.555068792843601
2019-02-17,17372,13.807601888095787
2019-02-18,14952,13.172031835205992
2019-02-19,19947,14.927999197874367
2019-02-20,19026,13.887683170398402
2019-02-21,20422,14.747862109489768
2019-02-22,22213,14.389929770854906
2019-02-23,21074,13.612517319920281
2019-02-24,16373,13.865855982410066
2019-02-25,19953,14.567311181275999
2019-02-26,20763,14.714525357607283
2019-02-27,21402,14.448801046631155
2019-02-28,20695,14.304762986228559
2019-03-01,22542,14.116810841983854
2019-03-02,18716,13.154996794186793
2019-03-03,17060,13.606555099648299
2019-03-04,15725,13.470103656597775
2019-03-05,20273,14.740866176688208
2019-03-06,21441,14.37389580709855
2019-03-07,21819,14.504183968101195
2019-03-08,22039,14.335337810245475
2019-03-09,20781,13.274909773350657
2019-03-10,15703,13.143868050690951
2019-03-11,18648,14.47544347919348
2019-03-12,19244,14.324954791103721
2019-03-13,20361,14.675650999459751
2019-03-14,20886,15.111711194101312
2019-03-15,21633,14.494153839042205
2019-03-16,20814,13.734674738157011
2019-03-17,17101,13.860405824220805
2019-03-18,17819,14.560509568438183
2019-03-19,18531,15.100538557012575
2019-03-20,19166,14.69132735051654
2019-03-21,20301,14.105507610462537
2019-03-22,21154,13.909882764488984
2019-03-23,19913,13.712127755737457
2019-03-24,16023,14.068580790114211
2019-03-25,17794,14.57198100483309
2019-03-26,18287,14.193104937934052
2019-03-27,19255,14.092033757465593
2019-03-28,19775,14.493830594184576
2019-03-29,20311,14.131095957855349
2019-03-30,20339,13.490095874920105
2019-03-31,16700,13.27514251497006
2019-04-01,18290,13.803168944778568
2019-04-02,18945,14.014074953813672
2019-04-03,19479,14.58063914985369
2019-04-04,20445,14.550685742235267
2019-04-05,21702,13.758159155838172
2019-04-06,20033,13.619182848300305
2019-04-07,16679,14.057922537322382
2019-04-08,15931,12.855831397903458
2019-04-09,16971,12.653680985210064
2019-04-10,17148,13.170693375320736
2019-04-11,18009,12.889706813260037
2019-04-12,19475,12.673372528883183
2019-04-13,18233,13.038236713651074
2019-04-14,14958,12.610786869902393
2019-04-15,16705,12.640438790781204
2019-04-16,16635,13.291183648932972
2019-04-17,16999,13.135175010294724
2019-04-18,17446,12.433969964461768
2019-04-19,16624,12.044045957651589
2019-04-20,17078,11.71956083850568
2019-04-21,14652,12.206013513513515
2019-04-22,14611,12.258767367052222
2019-04-23,14923,12.589445821885679
2019-04-24,15564,12.3860344384477
2019-04-25,16535,12.019989114000603
2019-04-26,17607,11.842830124382347
2019-04-27,17368,12.295622409028097
2019-04-28,14276,12.281337209302325
2019-04-29,14865,12.326600739993273
2019-04-30,15498,12.423095883339787
2019-05-01,16588,12.036807330600434
2019-05-02,17211,12.259513102085876
2019-05-03,18222,12.302551860388542
2019-05-04,17778,12.51598717516031
2019-05-05,13921,12.151231951727604
2019-05-06,14523,13.06507815189699
2019-05-07,16337,13.554895635673624
2019-05-08,16572,14.02762792662322
2019-05-09,17411,13.717422893573028
2019-05-10,17994,13.743431699455375
2019-05-11,17377,12.92575185590148
2019-05-12,14948,12.468533583088039
2019-05-13,16160,13.374115099009902
2019-05-14,16380,13.489301587301588
2019-05-15,16539,13.988672833907733
2019-05-16,17394,14.0687409451535
2019-05-17,18187,13.972720624621983
2019-05-18,19209,13.26974907595398
2019-05-19,15569,13.01964737619629
2019-05-20,15333,13.753292897671688
2019-05-21,15709,13.730169966261379
2019-05-22,16274,13.911751259678013
2019-05-23,16693,13.899308692266219
2019-05-24,17103,13.90226159153365
2019-05-25,14994,12.785366813392024
2019-05-26,13470,12.934907201187826
2019-05-27,11002,12.557888565715325
