Date,total_trip,avg_fare_amount
2019-01-01,1,6.5
2019-01-03,4,8.375
2019-01-05,4,8.375
2019-01-15,1,5.5
2019-01-18,52,12.557692307692308
2019-01-19,4,8.75
2019-01-20,365,11.271232876712329
2019-01-21,190693,12.035355623961026
2019-01-22,251613,12.453432135859435
2019-01-23,257433,13.971171450435648
2019-01-24,278299,12.545225099623067
2019-01-25,288664,12.466812002882243
2019-01-26,268778,11.641222421477949
2019-01-27,217731,12.650975056376906
2019-01-28,239922,12.300604863247223
2019-01-29,258562,12.044771776208414
2019-01-30,275792,11.824568334106864
2019-01-31,283738,12.288374098640295
2019-02-01,298036,12.24225362036801
2019-02-02,266645,11.561048397682312
2019-02-03,220664,12.46571302976471
2019-02-04,232608,12.824414680492502
2019-02-05,252326,12.536528934790708
2019-02-06,277029,12.495561655999914
2019-02-07,274922,12.946604164090179
2019-02-08,288274,12.793330060983648
2019-02-09,276442,11.83123103580498
2019-02-10,221073,12.701770003573479
2019-02-11,235447,12.848110912434645
2019-02-12,237147,11.65791597616668
2019-02-13,267518,13.265757294836234
2019-02-14,270866,13.00728736718525
2019-02-15,256084,13.262361451711156
2019-02-16,239906,12.083714913341058
2019-02-17,211898,12.380400806048193
2019-02-18,192897,12.893004556836031
2019-02-19,234562,13.15808583658052
2019-02-20,240792,12.381592702415363
2019-02-21,252294,13.317741404868922
2019-02-22,263305,12.868839330814076
2019-02-23,252816,12.111814837668502
2019-02-24,208284,12.88581715350195
2019-02-25,234095,15.705493538947865
2019-02-26,262423,12.741689943335759
2019-02-27,270492,12.907028895494136
2019-02-28,280236,13.249843596111848
2019-03-01,281143,12.889719146484174
2019-03-02,251515,11.957299405602052
2019-03-03,221838,12.590067526753757
2019-03-04,208042,12.770493265782871
2019-03-05,267853,12.881938899321643
2019-03-06,285242,12.925225773203104
2019-03-07,291117,13.132975298591289
2019-03-08,284861,13.719432003678987
2019-03-09,271238,12.436867990473312
2019-03-10,228394,12.814246784066132
2019-03-11,235470,13.219634985348453
2019-03-12,266937,12.764074969000175
2019-03-13,270390,13.0319833943563
2019-03-14,279133,13.359562681589063
2019-03-15,284498,16.434593178159425
2019-03-16,269827,12.918936540820601
2019-03-17,224972,13.438599736856142
2019-03-18,221924,13.292121086498081
2019-03-19,237999,13.074745734225775
2019-03-20,250070,13.21924041268445
2019-03-21,274055,13.317346116655417
2019-03-22,271437,13.510641290612554
2019-03-23,254534,12.401008116793827
2019-03-24,209086,13.735061027519777
2019-03-25,211682,13.434053013482488
2019-03-26,239861,13.104997894613964
2019-03-27,250608,13.274573197982507
2019-03-28,260156,13.4542032472824
2019-03-29,256648,13.278521048284032
2019-03-30,249681,12.74816473820595
2019-03-31,222425,13.043742250196695
2019-04-01,232874,13.251930915430663
2019-04-02,257417,12.970494800265715
2019-04-03,263634,13.238989242662175
2019-04-04,277093,13.564583298748074
2019-04-05,292598,13.157021681624618
2019-04-06,260744,12.566727096309023
2019-04-07,223069,13.585738583128988
2019-04-08,228807,13.298429899434895
2019-04-09,260383,12.761823621357768
2019-04-10,261332,13.152237154271194
2019-04-11,274414,13.30267169313519
2019-04-12,280055,13.050717858991984
2019-04-13,262810,12.62329816217039
2019-04-14,224384,13.16977008164575
2019-04-15,247321,13.03526109792537
2019-04-16,254459,13.375707049072739
2019-04-17,265645,13.169210487680926
2019-04-18,267159,13.636497853338273
2019-04-19,242023,12.608085140668448
2019-04-20,211221,12.158552937444666
2019-04-21,185290,13.041451940201846
2019-04-22,211961,13.356385608673294
2019-04-23,234881,13.186297359088218
2019-04-24,241944,13.313532387659954
2019-04-25,266362,13.435297564967977
2019-04-26,251718,13.427456717437767
2019-04-27,251036,12.919128372026323
2019-04-28,220871,13.189644407821762
2019-04-29,228271,15.043255998352834
2019-04-30,253404,13.262378731196033
2019-05-01,269174,13.248927719616308
2019-05-02,277506,13.533933032078586
2019-05-03,275547,13.397591336505206
2019-05-04,265697,12.334947553039742
2019-05-05,236866,13.094692653230098
2019-05-06,227531,13.606981114661298
2019-05-07,250856,13.102200385878751
